02.671.621/0001-22SC510102SC      14242 14242 NF  1  18/08/2009S               67,80               12,00N                0,00                0,00                0,00               67,80                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
76.871.573/0001-52SC510102SC      14243 14243 NF  1  18/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
00.252.713/0001-42SC510102SC      14244 14244 NF  1  18/08/2009S              118,20               12,00N                0,00                0,00                0,00              118,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
272.161.258-19    SP610102SC      14245 14245 NF  1  18/08/2009N              102,00               12,00N                0,00                0,00                0,00              102,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
75.528.018/0001-60SC510102SC      14246 14246 NF  1  18/08/2009S              169,20               12,00N                0,00                0,00                0,00              169,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
75.394.189/0004-96SC510102SC      14247 14247 NF  1  18/08/2009S              130,55               12,00N                0,00                0,00                0,00              130,55                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
10.269.046/0001-64SC510102SC      14248 14248 NF  1  18/08/2009S                0,00               00,00N                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                   NOTA FISCAL CANCELADA    xxxx01
10.269.046/0001-64SC510102SC      14249 14249 NF  1  18/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
47.508.411/0116-03SP610102SC      14250 14250 NF  1  19/08/2009S             2586,00               12,00N                0,00                0,00                0,00             2586,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
09.014.480/0002-03SP610102SC      14251 14251 NF  1  19/08/2009S              178,50               12,00N                0,00                0,00                0,00              178,50                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
09.104.273/0001-50SP610102SC      14252 14252 NF  1  19/08/2009S              178,50               12,00N                0,00                0,00                0,00              178,50                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
09.014.480/0001-14SP610102SC      14253 14253 NF  1  19/08/2009S              178,50               12,00N                0,00                0,00                0,00              178,50                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
86.378.866/0001-56SC510102SC      14254 14254 NF  1  19/08/2009S              405,60               12,00N                0,00                0,00                0,00              405,60                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.648.477/0018-53SC510102SC      14255 14255 NF  1  19/08/2009S              125,26               12,00N                0,00                0,00                0,00              125,26                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
