1101-ACR                    10,00 01/09/2009 *** 23977; 
AL1033-RBZ                   2,00 23/09/2009 *** 24727; 
AL1034-SBC                   1,00 23/09/2009 *** 24697; 
AL1082PR                     4,00 23/09/2009 *** 24725; 24793; 
AL1039-RBZ                   2,00 23/09/2009 *** 24727; 
AL1019BZ                    10,00 23/09/2009 *** 24727; 
AL1035BC                     0,50 23/09/2009 *** 24725; 
AL1021-RBZ                   2,00 23/09/2009 *** 24727; 
1003-CVD                   100,00 24/09/2009 *** 24745; 
1000CR                     150,00 24/09/2009 *** 24745; 
1800-CVD                    96,00 24/09/2009 *** 24745; 
1000VD                     150,00 24/09/2009 *** 24745; 
1521NF                     273,00 24/09/2009 *** 24740; 
3376CR                      33,00 24/09/2009 *** 24744; 24898; 
3376PR                      10,00 24/09/2009 *** 24744; 
3376VD                      17,00 24/09/2009 *** 24744; 
3880BC                      26,00 24/09/2009 *** 24744; 
1510VD                      20,00 24/09/2009 *** 24768; 
1307BC                      26,00 24/09/2009 *** 24745; 
1310BC                      30,00 24/09/2009 *** 24744; 
1200VD                      87,00 24/09/2009 *** 24745; 
1523PR                      55,00 24/09/2009 *** 24745; 
1511-JXPR                  100,00 24/09/2009 *** 24768; 24881; 
1002-LBC                   350,00 24/09/2009 *** 24740; 24745; 
1408-ANF                   100,00 24/09/2009 *** 24740; 
1132BC                     233,00 24/09/2009 *** 24768; 
1002-LPR                   350,00 24/09/2009 *** 24740; 24745; 
1587-25NF                    1,00 24/09/2009 *** 24735; 
1571BC                      71,00 24/09/2009 *** 24756; 24957; 
1510-MBC                    50,00 24/09/2009 *** 24768; 
1587-60BZ                    1,00 24/09/2009 *** 24735; 
TSDBC                       30,00 24/09/2009 *** 24744; 
TSDCR                       50,00 24/09/2009 *** 24744; 
1132VD                     500,00 24/09/2009 *** 24768; 
1801-BBC                     3,00 24/09/2009 *** 24744; 
1002-LVD                   150,00 24/09/2009 *** 24745; 
1800-BVD                   150,00 24/09/2009 *** 24745; 
1511-MVD                    15,00 24/09/2009 *** 24768; 
1511-XBC                    61,00 24/09/2009 *** 24756; 24770; 
1400PR                     100,00 24/09/2009 *** 24745; 
1013BC                      60,00 24/09/2009 *** 24745; 24881; 
1400VD                     100,00 24/09/2009 *** 24745; 
A1520TAPR                   14,00 24/09/2009 *** 24740; 
1702PR                      60,00 24/09/2009 *** 24745; 24882; 
1702VD                      50,00 24/09/2009 *** 24745; 
1511PR                       3,00 24/09/2009 *** 24768; 
1002BC                     500,00 24/09/2009 *** 24745; 
1519CR                      50,00 24/09/2009 *** 24745; 
1800-BBC                    73,00 24/09/2009 *** 24745; 
1800-BCR                    77,00 24/09/2009 *** 24745; 
1800-BPR                   170,00 24/09/2009 *** 24740; 24745; 
1800-CBC                   100,00 24/09/2009 *** 24745; 
1800-CCR                    70,00 24/09/2009 *** 24745; 
1800-CPR                    40,00 24/09/2009 *** 24745; 
1589VA30BC                 159,00 24/09/2009 *** 24740; 24740; 24744; 24882; 
1519PR                      15,00 24/09/2009 *** 24745; 
1519VD                      20,00 24/09/2009 *** 24745; 
1589VA30PR                 148,00 24/09/2009 *** 24768; 
1589VA30VD                 150,00 24/09/2009 *** 24768; 
1589VA40CR                 176,00 24/09/2009 *** 24740; 
1520-ABC                    19,00 25/09/2009 *** 23923; 24881; 
1710NF                      15,00 25/09/2009 *** 24812; 
1710-MBZ                    20,00 25/09/2009 *** 24791; 
1587VABC                    19,00 25/09/2009 *** 24814; 
1115CR                       6,00 25/09/2009 *** 24814; 
1587-40NF                    3,00 25/09/2009 *** 23923; 
1203-ACR                     5,00 28/09/2009 *** 24881; 
1520TAM2                     4,00 28/09/2009 *** 24881; 
1010                        30,00 28/09/2009 *** 24881; 
1511-XNF                    10,00 28/09/2009 *** 24881; 
1201PR                      80,00 28/09/2009 *** 24881; 
1003-ACR                 1.000,00 28/09/2009 *** 24881; 
1589-30VACR                100,00 28/09/2009 *** 24833; 
1101PR                       9,00 28/09/2009 *** 24881; 
1570OT                      25,00 28/09/2009 *** 24844; 
1524NF                      50,00 29/09/2009 *** 24890; 
1511-XPR                   200,00 30/09/2009 *** 24770; 
1511-XVD                    65,00 30/09/2009 *** 24770; 
C1-150NF                     2,00 30/09/2009 *** 24911; 
1504ATAEBZ                   1,00 30/09/2009 *** 24966; 
1520-AVD                   100,00 30/09/2009 *** 24770; 
1531-XPR                    28,00 30/09/2009 *** 24770; 
1531-XVD                    30,00 30/09/2009 *** 24770; 
3210CR                      50,00 30/09/2009 *** 24770; 
3530CR                     300,00 30/09/2009 *** 24770; 
3530PR                     110,00 30/09/2009 *** 24770; 
1511-AXVD                  150,00 30/09/2009 *** 24770; 
1504-AVD                    64,00 30/09/2009 *** 24770; 
